,Frequency
164,0.2
58,0.2
79,0.2
120,0.2
90,0.2
97,0.2
36,0.2
1,0.15
35,0.15
27,0.15
123,0.15
121,0.15
33,0.15
34,0.15
114,0.15
38,0.15
125,0.15
2,0.15
83,0.15
77,0.15
53,0.15
73,0.15
124,0.15
122,0.15
126,0.15
162,0.15
127,0.15
148,0.15
8,0.15
144,0.15
11,0.15
170,0.15
129,0.15
128,0.15
168,0.1
163,0.1
100,0.1
75,0.1
74,0.1
85,0.1
161,0.1
160,0.1
78,0.1
110,0.1
105,0.1
106,0.1
113,0.1
145,0.1
118,0.1
143,0.1
141,0.1
139,0.1
119,0.1
137,0.1
135,0.1
133,0.1
61,0.1
174,0.1
15,0.1
26,0.1
49,0.1
10,0.1
52,0.1
48,0.1
42,0.1
16,0.1
7,0.1
23,0.1
3,0.1
21,0.1
18,0.1
45,0.1
19,0.1
57,0.1
155,0.05
99,0.05
101,0.05
102,0.05
103,0.05
117,0.05
111,0.05
107,0.05
108,0.05
109,0.05
94,0.05
112,0.05
149,0.05
147,0.05
37,0.05
14,0.05
131,0.05
132,0.05
95,0.05
96,0.05
156,0.05
9,0.05
72,0.05
4,0.05
56,0.05
169,0.05
92,0.05
54,0.05
165,0.05
67,0.05
167,0.05
71,0.05
82,0.05
65,0.05
171,0.05
159,0.05
87,0.05
89,0.05
46,0.05
157,0.05
17,0.0
140,0.0
172,0.0
173,0.0
142,0.0
138,0.0
166,0.0
13,0.0
146,0.0
12,0.0
150,0.0
151,0.0
5,0.0
6,0.0
152,0.0
153,0.0
158,0.0
154,0.0
136,0.0
59,0.0
134,0.0
20,0.0
91,0.0
47,0.0
86,0.0
84,0.0
81,0.0
80,0.0
50,0.0
51,0.0
76,0.0
55,0.0
70,0.0
69,0.0
68,0.0
66,0.0
64,0.0
63,0.0
62,0.0
93,0.0
98,0.0
44,0.0
31,0.0
130,0.0
22,0.0
24,0.0
25,0.0
28,0.0
29,0.0
30,0.0
32,0.0
104,0.0
60,0.0
116,0.0
115,0.0
39,0.0
40,0.0
41,0.0
43,0.0
88,0.0
